CustomerID,Company,Job Title,Employment Status,Job Start Date,Annual Income,Industry
102,Global Maritime Consultancy Pte Ltd,Senior Engineer,Employee,12/3/2001,52000,Marine
103,Popular Holdings,Cashier,Employee,14/2/2004,43800,Retail
104,Pacnet,Financial Advisor,Employee,16/9/2003,44000,Communications
105,StarHub Limited,Team Leader,Employee,18/7/2001,46000,Communications
106,Wing Tai Holdings Limited,Marketing Officer,Employee,8/12/2005,56000,Property
107,Capital Dynamics (S) Pte Ltd,Software & Applications Manager,Employee,11/9/2001,105100,Consulting
108,Serai Makan Place,Driver,Employee,14/6/2004,34800,Food and Beverages
109,Jetstar Asia Airways,Secretary,Employee,2/5/2002,55000,Transport
110,Changi International Airport Services Pte Ltd,Driver,Employee,13/9/2001,50880,Transport
111,SilkAir,Policy and Planning Manager,Employee,18/12/2003,102080,Transport
112,Singapore Expats,It Specialist,Employee,5/7/2001,73000,Property
113,Eng Leong Medallic Industries Pte Ltd,Market Research Analyst,Employee,24/4/2001,99000,Manufacturing
114,PSA International Pte Ltd,Economist,Employee,11/5/1995,60010,Investment
115,MediaCorp Private Limited,Video Editor,Employee,18/8/2006,48080,Media
116,Dizyatec Solutions Pte Ltd,Public Relations Manager,Employee,10/9/2003,76320,Information Technology
117,K Box KTV Management Pte Ltd,Receptionist,Employee,30/12/2002,42000,Entertainment
118,AIBI International,Secretary,Employee,6/8/2008,56000,HealthCare
119,Chartered Semiconductor Manufacturing,Manager,Employee,25/9/1992,32803,Manufacturing
120,RHB Bank Berhad,Risk Manager,Employee,16/5/2003,60000,Banking and Finance
121,Vadaro Pte Ltd,Senior Team Leader,Employee,15/5/2002,55000,Information Technology
122,Aurigin Technology,Human Resource Manager,Employee,19/1/2003,53000,Electronics
123,Acacia Design Consultants Pte Ltd,Legal Associate Professional,Employee,23/6/2001,92500,Design
124,InVue Security Products,Security Guard,Employee,25/11/2001,54640,Security
125,NOVATTE Pte Ltd,Equipment Technician,Employee,24/7/2001,54640,Manufacturing
126,M.SaaS Solutions Pte Ltd,Applications Specialist,Employee,1/4/2001,57360,Information Technology
127,Seagate Technology,Admin Assistant,Employee,28/1/2003,50880,Data Storage
128,Critica,Secretary,Employee,12/8/2011,42000,Design
129,NTUC FairPrice Co-Operative Ltd,Technician,Employee,18/3/1993,33143,Retail
130,Bytech Asia Pacific Pte Ltd,Senior Marketing Manager,Employee,20/2/2002,52000,Information Technology
131,PSA International Pte Ltd,Senior Strategist,Employee,12/1/2003,200400,Investment
132,InVue Security Products,IT Specialist,Employee,4/7/2003,105240,Security
133,Alexandra Health,Legal Associate,Employee,20/12/2002,197360,HealthCare
134,Bytech Asia Pacific Pte Ltd,Senior Clerk,Employee,20/12/2005,60000,Information Technology
135,SBS Transit Limited,Clerk,Employee,21/3/2002,50000,Transport
136,City Developments Limited,Marketing Officer,Employee,16/8/2006,56000,Property
137,Temasek Holdings,Senior Clerk,Employee,16/10/2001,80000,Investment
138,Electronics & Engineering Pte Ltd,Network Systems Administrator,Employee,28/11/2001,92640,Diversified
139,M.SaaS Solutions Pte Ltd,Senior Web Developer,Employee,19/10/2002,51000,Information Technology
140,The Fullerton Hotel,Receptionist,Employee,12/7/1991,30012,Hospitality
141,Electronics & Engineering Pte Ltd,Board of Chairman,Employee,30/3/2007,232900,Diversified
142,Singapore Telecommunications Limited,Sales Specialist,Employee,15/1/2006,52700,Communications
143,Vadaro Pte Ltd,Software Engineer,Employee,22/4/2001,79800,Information Technology
144,StarHub Limited,Brand Ambassador,Employee,7/2/2001,44000,Communications
145,Keppel Corporation Limited,Driver,Employee,29/3/2003,34800,Diversified
146,Bank of Tokyo-Mitsubishi Limited,Chief Analyst,Employee,15/1/2003,198000,Banking and Finance
147,National Environment Agency,Logistics Manager,Employee,27/10/2001,73000,Government
148,BreadTalk Group Limited,Production Supervisor,Employee,15/2/1990,32535,Food and Beverages
149,Utica Energy Pte Ltd,Clerk,Employee,22/1/2003,44000,Energy and Utility
150,Changi International Airport Services Pte Ltd,IT Specialist,Employee,25/3/2009,73000,Transport
151,Electronics & Engineering Pte Ltd,Data Analyst,Employee,21/5/2001,46000,Diversified
152,Singapore Police Force,Mechanical Engineer,Employee,13/10/2001,72000,Government
153,PowerSeraya Ltd,Logistics Manager,Employee,19/11/2003,73000,Energy and Utility
154,Singapore Airlines Limited,Team Leader,Employee,14/5/2002,57000,Transport
155,Abbott Manufacturing Singapore Pte Ltd,Data Analyst,Employee,11/1/2005,42000,Manufacturing
156,Singapore Airlines Cargo,Public Relations Officer,Employee,4/10/1998,31690,Transport
157,Hyflux Limited,Legal Consultant,Employee,18/9/2003,72720,Manufacturing
158,Serai Makan Place,Director,Employee,27/3/2002,220240,Food and Beverages
159,Medical Technology,Product Specialist,Employee,16/1/2002,54680,HealthCare
160,Creative Technology,Sales Manager,Employee,16/9/2001,59000,Electronics
161,SIA Engineering Company Limited,Project Manager,Employee,12/5/2009,75000,Manufacturing
162,JTC Corporation,Employment Officer,Employee,21/11/2008,56680,Government
163,Advanced Marine Pte Ltd,General Manager,Employee,29/12/2007,98000,Marine
164,SembCorp Industries Limited,Engineering Assistant,Employee,26/5/2001,52000,Diversified
165,Temasek Holdings,Investment Consultant,Employee,29/8/2003,80100,Investment
166,Singapore Telecommunications Limited,Social Media Analyst,Employee,2/7/2005,104000,Communications
167,NTUC FairPrice Co-Operative Ltd,Quality Inspector,Employee,4/1/2002,52000,Retail
168,Aurigin Technology,Web Developer,Employee,11/11/2002,49000,Electronics
169,Singapore Police Force,Forensic Specialist,Employee,19/6/2001,92000,Government
170,Singapore Expats,President,Employee,26/5/2003,50000,Property
171,Singapore Power,Admin Assistant,Employee,25/5/1988,32997,Energy and Utility
172,Advanced Marine Pte Ltd,Marine Engineer,Employee,19/3/2006,52010,Marine
173,AVD Electronics Marketing Pte Ltd,Public Relations,Employee,2/9/2003,55000,Electronics
174,Raffles Medical,System Programmer,Employee,28/4/2005,73000,HealthCare
175,Keppel Corporation Limited,Procurement Manager,Employee,28/2/2002,105000,Diversified
176,Critica,Secretary,Employee,10/12/2002,55000,Design
177,Seagate Technology,Technician,Employee,7/7/2007,58000,Data Storage
178,Pacnet,Legal Advisor,Employee,7/8/2003,54000,Communications
179,Utica Energy Pte Ltd,Marketing Coordinator,Employee,15/7/2002,44000,Energy and Utility
180,Singapore Expats,Senior Finance Manager,Employee,2/12/2006,81000,Property
181,SMRT Corporation,Technician,Employee,6/5/2003,79800,Transport
182,SPH MediaWorks Limited,Human Resource Manager,Employee,3/8/2001,198400,Media
183,Osim International Limited,Receptionist,Employee,6/3/1994,31229,HealthCare
184,Talent Logic Pte Ltd,Web Developer,Employee,8/9/2001,49500,Electronics
185,Asia TCM Pte Ltd,Product Specialist,Employee,12/3/2003,58000,HealthCare
186,StarHub Limited,Solutions Manager,Employee,1/2/2002,78000,Communications
187,Seagate Technology,Sales Manager,Employee,8/1/2003,44000,Data Storage
188,Certis CISCO Security Pte Ltd,Auxiliary Officer,Employee,1/3/2003,40000,Security
189,Certis CISCO Security Pte Ltd,Medic,Employee,24/6/2003,49600,Security
190,SingTel Limited,Operations Executive,Employee,27/5/2003,120100,Communications
191,Advanced Marine Pte Ltd,Senior Engineer,Employee,22/3/2010,75000,Marine
192,Singapore Expats,Telecommunications Engineer,Employee,21/6/2003,58000,Property
193,Acacia Design Consultants Pte Ltd,Advertising,Employee,11/2/2001,129240,Design
194,City Developments Limited,Supervisor,Employee,27/12/2002,79200,Property
195,PSA International Pte Ltd,Admin Assistant,Employee,17/10/1998,31208,Investment
196,Bytech Asia Pacific Pte Ltd,Web Designer,Employee,20/8/2003,49000,Information Technology
197,Certis CISCO Security Pte Ltd,Auxiliary Officer,Employee,13/2/2002,60000,Security
198,Aurigin Technology,Software Developer,Employee,27/7/2001,78680,Electronics
199,Alexandra Health,Web Designer,Employee,26/5/2002,60000,HealthCare
200,Tiger Airways,Clerk,Employee,4/5/2003,46000,Transport
201,M.SaaS Solutions Pte Ltd,IT Security Manager,Employee,12/4/2002,52000,Information Technology
202,Vadaro Pte Ltd,Operations Manager,Employee,8/11/2001,54000,Information Technology
203,Sushi-Tei Pte Ltd,Production Supervisor,Employee,11/9/2006,42000,Food and Beverages
204,Singapore Petroleum Company Limited,Risk Analyst,Employee,26/2/2003,109680,Energy and Utility
205,Ministry of Education,Database Administrator,Employee,31/8/2009,48100,Government
206,Singapore Civil Defence Force,Supply & Distribution Manager,Employee,23/9/2001,72720,Government
207,Wing Tai Holdings Limited,Telecommunications Engineer,Employee,16/8/2002,78000,Property
208,SPH MediaWorks Limited,IT Specialist,Employee,23/4/2003,52000,Media
209,Jurong Port Pte Ltd,IT Specialist,Employee,29/3/2002,57440,Transport
210,Jetstar Asia Airways,Legal Consultant,Employee,7/1/2001,199000,Transport
211,Creative Technology,Financial Manager,Employee,13/3/2003,145200,Electronics
212,InVue Security Products,Senior Officer,Employee,14/8/2002,87120,Security
213,Core Solution Pte Ltd,Admin Assistant,Employee,19/2/2004,38400,Information Technology
214,SPH MediaWorks Limited,Security Officer,Employee,28/4/2005,72720,Media
215,Valuair,Admin Assistant,Employee,28/9/1987,33156,Transport
216,Wilmar International Limited,Director,Employee,13/9/2003,105360,Agribusiness
217,SembCorp Industries Limited,Senior Data Analyst,Employee,20/9/2003,50000,Diversified
218,Aspial Corporation Ltd,Sales Executive,Employee,27/9/2008,81080,Retail
219,Advanced Marine Pte Ltd,Equipment Inspector,Employee,3/10/2002,52000,Marine
220,K Box KTV Management Pte Ltd,Cashier,Employee,28/1/2001,42880,Entertainment
221,Abbott Manufacturing Singapore Pte Ltd,Equipment Technician,Employee,4/7/2005,58000,Manufacturing
222,Bank of East Asia Limited,Director,Employee,29/5/2001,121000,Banking and Finance
223,MediaCorp Private Limited,Technician,Employee,18/11/2005,50000,Media
224,SBS Transit Limited,Supervisor,Employee,24/1/2002,55000,Transport
225,Jurong Port Pte Ltd,System Analyst,Employee,25/6/2002,80200,Transport
226,MHC Asia Group Pte Ltd,Admin Assistant,Employee,17/1/2003,43520,HealthCare
227,Singapore Technologies Engineering Ltd,Team Leader,Employee,16/11/2002,46000,Manufacturing
228,City Developments Limited,Supervisor,Employee,24/3/2007,50000,Property
229,Changi International Airport Services Pte Ltd,Driver,Employee,27/4/2006,75000,Transport
230,StarHub Limited,Programme Manager,Employee,23/9/2003,79100,Communications
231,Alexandra Health,Financial Advisor,Employee,23/11/2003,78520,HealthCare
232,CapitaLand Limited,Admin Assistant,Employee,28/3/1989,31503,Property
233,Jetstar Asia Airways,Human Resource Manager,Employee,8/11/2001,98760,Transport
234,Bloomsbury Knowledge (Singapore) Pte Ltd,Education Specialist,Employee,4/2/2002,145560,Education
235,Futurebooks Pte Ltd,Audit Assistant,Employee,16/9/2003,92960,Accounting
236,Temasek Holdings,Chairman,Employee,26/4/2003,107800,Investment
237,Keppel Corporation Limited,Operations Manager,Employee,23/3/2006,42000,Diversified
238,Singapore Telecommunications Limited,Brand Ambassador,Employee,18/7/2001,40000,Communications
239,StarHub Limited,Social Media Analyst,Employee,19/1/2003,106000,Communications
240,NOVATTE Pte Ltd,Auditor,Employee,12/2/2003,79840,Manufacturing
241,Tiger Airways,Warehouse Manager,Employee,9/2/2010,81100,Transport
242,MediaCorp Private Limited,Web Design & Analyst,Employee,22/6/2002,100400,Media
243,iTPace Software Pte Ltd,Sales Executive,Employee,25/9/2003,201000,Information Technology
244,StarHub Limited,Product Manager,Employee,14/8/2003,78000,Communications
245,Valuair,Driver,Employee,9/4/1986,32031,Transport
246,Global Corporate Advisory Pte Ltd,Admin Assistant,Employee,22/7/2001,49000,Accounting
247,Critica,Secretary,Employee,25/11/2002,35040,Design
248,Premier Taxis,Taxi Driver,Self-Employed,20/9/2003,79027,Transport
249,StarHub Limited,Public Affairs Manager,Employee,3/2/2010,73000,Communications
250,Aurigin Technology,Web Developer,Employee,29/4/1983,32816,Electronics
251,Global Maritime Consultancy Pte Ltd,Marine Consultant,Employee,29/10/2001,43920,Marine
252,Thakral Corporation Ltd,Operations Director,Employee,10/11/2002,53000,Diversified
253,M.SaaS Solutions Pte Ltd,Programmer,Employee,17/5/2003,53880,Information Technology
254,Capital Dynamics (S) Pte Ltd,Database Administrator,Employee,12/12/2005,49320,Consulting
255,Singapore Expats,Admin Assistant,Employee,6/5/2003,44000,Property
256,SilkAir,Manager,Employee,5/6/2008,76000,Transport
257,Mount Alvernia Hospital,Clerk,Employee,29/7/2006,48000,HealthCare
258,ComfortDelGro Corporation Limited,Manager,Employee,1/10/2003,72800,Transport
259,Tuas Power Ltd,System Analyst,Employee,25/12/2008,60000,Energy and Utility
260,Advanced Marine Pte Ltd,Risk Assessment Officer,Employee,24/1/2003,93000,Marine
261,Certis CISCO Security Pte Ltd,System Security,Employee,13/6/2001,146000,Security
262,NTUC FairPrice Co-Operative Ltd,Quality Inspector,Employee,28/12/2011,73000,Retail
263,SPH MediaWorks Limited,Reporter,Employee,4/4/2009,60000,Media
264,Arc Marine Pte Ltd,Cargo Operator,Employee,31/7/2002,78000,Marine
265,Tiger Airways,System Analyst,Employee,19/1/2006,53920,Transport
266,NTUC FairPrice Co-Operative Ltd,Data Analyst,Employee,20/8/2001,80400,Retail
267,Critica,Board of Chairman,Employee,10/6/2001,220440,Design
268,SBS Transit Limited,Quality Assurance Officer,Employee,12/11/2003,78600,Transport
269,Yeo Hiap Seng Limited,Marketing Manager,Employee,23/8/2006,47760,Food and Beverages
270,Certis CISCO Security Pte Ltd,Medic,Employee,13/9/2003,46000,Security
271,Dizyatec Solutions Pte Ltd,IT Support Engineer,Employee,2/4/2002,50900,Information Technology
272,Certis CISCO Security Pte Ltd,Medic,Employee,16/2/2005,48000,Security
273,Pan-Asia Investment Group Holding Co Inc,Team Leader,Employee,6/8/2002,50560,Investment
274,Singapore Technologies Engineering Ltd,Data Analyst,Employee,11/2/2002,53920,Manufacturing
275,AcuMed Medical Pte Ltd,Dental Assistant,Employee,11/9/2006,42000,HealthCare
276,TRIREME MEDICAL (SINGAPORE) PTE LTD,IT Specialist,Employee,16/5/2005,51600,HealthCare
277,Vadaro Pte Ltd,Senior Web Developer,Employee,9/12/2001,76000,Information Technology
278,M.SaaS Solutions Pte Ltd,Public Relations Manager,Employee,5/12/2001,72800,Information Technology
279,AIBI International,Doctor,Employee,23/6/2003,75600,HealthCare
280,Singapore Telecommunications Limited,Brand Ambassador,Employee,28/10/2006,42000,Communications
281,City Developments Limited,Finance Manager,Employee,14/12/2002,78000,Property
282,Talent Logic Pte Ltd,Data Analyst,Employee,18/11/2006,52400,Electronics
283,SilkAir,Driver,Employee,13/2/2005,56000,Transport
284,Singapore Expats,Legal Consultant,Employee,24/1/2002,92000,Property
285,Utica Energy Pte Ltd,Human Resource Manager,Employee,6/2/2005,93020,Energy and Utility
286,CapitaLand Limited,Property Agent,Employee,30/6/2003,79100,Property
287,AcuMed Medical Pte Ltd,Social Welfare Officer,Employee,28/7/2001,59500,HealthCare
288,Bank of East Asia Limited,Manager,Employee,26/9/2003,49800,Banking and Finance
289,City Developments Limited,Finance Manager,Employee,15/3/2002,55000,Property
290,Global Maritime Consultancy Pte Ltd,Sales Executive,Employee,17/1/2003,109800,Marine
291,Capital Dynamics (S) Pte Ltd,Investment Assistant,Employee,6/12/2009,73000,Consulting
292,Singapore Airport Terminal Services Limited,Assistant Manager,Employee,22/9/2002,54720,Transport
293,MediaCorp Private Limited,Security Officer,Employee,10/6/2001,46000,Media
294,AVD Electronics Marketing Pte Ltd,Database Administrator,Employee,25/12/2002,46000,Electronics
295,Singapore Petroleum Company Limited,Driver,Employee,9/10/1989,33161,Energy and Utility
296,Bytech Asia Pacific Pte Ltd,Senior IT Security Manager,Employee,30/5/2002,78600,Information Technology
297,SingTel Limited,Operations Executive,Employee,11/8/2001,106000,Communications
298,United Overseas Bank Limited,Marketing Officer,Employee,23/8/2001,53000,Banking and Finance
299,Chartered Semiconductor Manufacturing,Supervisor,Employee,15/5/1980,31850,Manufacturing
300,InVue Security Products,System Security,Employee,10/11/2002,100480,Security
301,Singapore Expats,Secretary,Employee,21/1/2003,45000,Property
302,DBS Bank Limited,Marketing Officer,Employee,9/2/2003,58200,Banking and Finance
303,SPH MediaWorks Limited,Reporter,Employee,15/11/2002,78440,Media
304,Popular Holdings,Salesperson,Employee,10/6/2002,53600,Retail
305,Tuas Power Ltd,Infrastructure Architect,Employee,11/8/2003,93020,Energy and Utility
306,TRIREME MEDICAL (SINGAPORE) PTE LTD,Financial Advisor,Employee,7/4/2009,75000,HealthCare
307,Chartered Semiconductor Manufacturing,Equipment Technician,Employee,1/6/2002,54800,Manufacturing
308,StarHub Limited,Team Leader,Employee,22/10/2002,44000,Communications
309,Osim International Limited,Pharmacist,Employee,2/9/2003,58000,HealthCare
310,YHI International Limited,Computer Systems Manager,Employee,19/6/2003,60000,Manufacturing
311,Aspial Corporation Ltd,Vice President,Employee,11/6/2001,113480,Retail
312,Financial Perspectives Pte Ltd,Education Specialist,Employee,19/6/2001,220800,Education
313,SIA Engineering Company Limited,IT Consultant,Employee,4/1/2001,54000,Manufacturing
314,Aspial Corporation Ltd,Salesperson,Employee,8/6/2007,75000,Retail
315,Bloomsbury Knowledge (Singapore) Pte Ltd,Admin Assistant,Employee,27/6/2003,40000,Education
316,Singapore Post Limited,Finance Executive,Employee,21/1/2001,122880,Logistics
317,Temasek Holdings,Economist,Employee,6/10/2002,60000,Investment
318,Keppel Corporation Limited,Senior Production Supervisor,Employee,1/10/2010,56000,Diversified
319,Temasek Holdings,Investment Strategist,Employee,11/7/2003,73000,Investment
320,Temasek Holdings,Admin Assistant,Employee,14/4/2008,42000,Investment
321,Singapore Telecommunications Limited,Clerk,Employee,9/5/1985,30902,Communications
322,Arc Marine Pte Ltd,Senior Engineer,Employee,9/6/2004,50900,Marine
323,Raffles Medical,Web Designer,Employee,29/9/2002,58000,HealthCare
324,Indian Overseas Bank,Systems Analyst,Employee,19/2/2001,92000,Banking and Finance
325,Pacnet,Financial Advisor,Employee,9/12/2001,45000,Communications
326,Bytech Asia Pacific Pte Ltd,Web Designer,Employee,24/7/2001,48520,Information Technology
327,Systems on Silicon Manufacturing Co Pte Ltd,Equipment Technician,Employee,31/5/2002,45000,Manufacturing
328,Alexandra Health,Senior Physician,Employee,30/3/2002,197400,HealthCare
329,Tiger Airways,Technician,Employee,25/2/2003,53000,Transport
330,Critica,Senior Designer,Employee,20/7/2003,146000,Design
331,Bee Cheng Hiang,Customer Service Manager,Employee,10/6/2003,50900,Food and Beverages
332,Acacia Design Consultants Pte Ltd,Clerk,Employee,29/9/2003,50000,Design
333,Seagate Technology,Customer Service Officer,Employee,13/8/2002,52000,Data Storage
334,Financial Perspectives Pte Ltd,Social Media Analyst,Employee,4/7/2001,53880,Education
335,DBS Bank Limited,Finance Manager,Employee,25/1/2003,54000,Banking and Finance
336,Tropical Aeroponics Pte Ltd,Technician,Employee,30/7/2002,52000,Agribusiness
337,SilkAir,Driver,Employee,21/4/1995,33162,Transport
338,Temasek Holdings,Investment Strategist,Employee,16/12/2001,82000,Investment
339,Mount Alvernia Hospital,Customer Service,Employee,15/8/2001,45000,HealthCare
340,Singapore Power,Web Developer,Employee,1/11/2010,50000,Energy and Utility
341,Singapore Airlines Cargo,Public Relations Manager,Employee,29/1/2002,126800,Transport
342,Dizyatec Solutions Pte Ltd,Public Relations Manager,Employee,10/3/2006,75000,Information Technology
343,Singapore Telecommunications Limited,Legal Advisor,Employee,10/5/2003,79880,Communications
344,Hyflux Limited,Infrastructure Architect & Engineer,Employee,25/8/2011,81760,Manufacturing
